,headline,latitude,longitude,kmeans_label
95,Zika case reported in Phetchabun,16.41904,101.16056,4
96,Zika spreads to Kuching,1.55,110.33333,4
97,Zika arrives in Udon Thani,17.41567,102.78589,4
98,More Zika patients reported in Calumpang,14.6228,121.0897,4
99,Zika Outbreak in Puducherry,11.93381,79.82979,4
100,Outbreak of Zika in Kozhikode,11.24802,75.7804,4
101,Zika symptoms spotted in Sibu,2.3,111.81667,4
102,Zika arrives in Quezon,15.5512,120.8147,4
103,"Sulu, Zamboanga brace for Zika",6.91028,122.07389,4
104,Zika Troubles come to Greater Noida,28.49615,77.53601,4
105,Zika Troubles come to Jaen,15.3275,120.9192,4
106,More Zika patients reported in Chennai,13.08784,80.27847,4
107,More Zika patients reported in Chanthaburi,12.60961,102.10447,4
108,Zika spreads to Kamphaeng Phet,16.48344,99.52153,4
109,More Zika patients reported in Kampong Speu,11.45332,104.52085,4
110,More Zika patients reported in Indang,14.19528,120.87694,4
111,Townsville Zika tests inconclusive,-19.26639,146.80569,1
112,Precautionary Zika measures in Rockhampton,-23.38032,150.50595,1
113,Is Zika virus in Majuro?,7.08971,171.38027,1
114,Zika arrives in Orange City,-33.28397,149.10018,1
115,More Zika patients reported in Melbourne,-37.814,144.96332,1
116,Zika Outbreak Hits Miami,25.77427,-80.19366,6
117,Could Zika Reach New York City?,40.71427,-74.00597,6
118,First Case of Zika in Miami Beach,25.79065,-80.13005,6
119,Zika Concerns are Spreading in Houston,29.76328,-95.36327,6
120,Brownsville teen contracts Zika virus,25.82176,-80.24116,6
121,Orlando volunteers aid Zika research,28.53834,-81.37924,6
122,Tampa Bay Area Zika Case Count Climbs,27.94752,-82.45843,6
123,Baltimore plans for Zika virus,39.29038,-76.61219,6
124,Key Zika Findings in San Diego Institute,9.89898,-84.00287,6
125,Tallahassee Doctors Discuss Zika Virus,30.43826,-84.28073,6
126,Zika worries in San Salvador,13.68935,-89.18718,6
127,Zika virus reported in Cleveland,35.15952,-84.87661,6
128,Zika Virus Transmission Detected in Havana,23.13302,-82.38304,6
129,Zika symtomps spotted in Key West,24.55524,-81.78163,6
130,Nashville takes precautions against Zika,36.16589,-86.78444,6
131,Saint Croix under Zika threat,17.72751,-64.74698,6
132,Madison lab developing vaccine against Zika virus [The Wisconsin State Journal],34.69926,-86.74833,6
133,New Zika Case Confirmed in Sarasota County,27.33643,-82.53065,6
134,Jacksonville man hit by Zika,34.8662,-92.11015,6
135,Belize City under threat from Zika,17.49952,-88.19756,6
136,More Zika cases in Soyapango,13.71024,-89.13989,6
137,Zika arrives in Tegucigalpa,14.0818,-87.20681,6
138,First Columbus Zika case,32.46098,-84.98771,6
139,"Zika Patient in Seminole, Florida",27.83975,-82.79121,6
140,Can Zika make it here to Vero Beach?,27.63864,-80.39727,6
141,Spring break ruined by Zika in Fort Lauderdale,30.07994,-95.41716,6
142,First Zika Case in Cincinnati,39.12711,-84.51439,6
143,Zika cases concern Charlotte residents,35.22709,-80.84313,6
144,Zika case reported in Jupiter,26.93422,-80.09421,6
145,Zika virus confirmed in Westchester,25.75482,-80.32727,6
146,More Zika patients reported in Pensacola,30.42131,-87.21691,6
147,Outbreak of Zika in Panama City,30.15946,-85.65983,6
148,"Zika in Belmont, Belmont worry",42.39593,-71.17867,6
149,Veracruz hit by Zika Concerns,19.18095,-96.1429,6
150,Is Lafayette prepared to combat Zika?,30.22409,-92.01984,6
151,Zika arrives in San Benito,16.91675,-89.91898,6
152,Zika Arrives in North Miami,25.89009,-80.18671,6
153,Tests negative on Windsor Zika carriers,42.30008,-83.01654,6
154,Zika battle outlined at Valdosta meeting,30.83334,-83.28032,6
155,Zika case reported in Coral Gables,25.72149,-80.26838,6
156,Zika arrives in West Palm Beach,26.71534,-80.05337,6
157,Zika spreads to Daytona Beach,29.21081,-81.02283,6
158,Zika Outbreak in Pinewood,25.86898,-80.21699,6
159,Zika Strikes St. Petersburg,37.22793,-77.40193,6
160,Zika symptoms spotted in Hollywood,26.0112,-80.14949,6
161,Zika arrives in Oaxaca,17.06542,-96.72365,6
162,Zika spreads to Barranquilla,10.96854,-74.78132,6
163,Zika Spreads to Palm Beach Gardens,26.82339,-80.13865,6
164,Outbreak of Zika in Palm Springs,26.6359,-80.09615,6
165,Zika case confirmed in Lorain,41.45282,-82.18237,6
166,Zika in Tamarac!,26.21286,-80.24977,6
167,Zika only the latest mosquito-borne threat to New Orleans,29.95465,-90.07507,6
168,Erie County sets Zika traps,42.12922,-80.08506,6
169,Zika symptoms spotted in Quisqueya,18.55542,-69.40814,6
170,More Zika patients reported in Carrollton,33.58011,-85.07661,6
171,Zika symptoms spotted in Bonita Springs,26.33981,-81.7787,6
172,More Zika patients reported in Fort Myers,26.62168,-81.84059,6
173,Hallandale Beach a Victim of Zika Outbreak,25.9812,-80.14838,6
174,Zika arrives in Boca Raton,26.35869,-80.0831,6
175,Bradenton Experiences Zika Troubles  ,27.49893,-82.57482,6
176,Zika spreads to Kissimmee,28.30468,-81.41667,6
177,Zika reported in Fort Pierce,27.44671,-80.32561,6
178,Zika spreads to Winter Park,28.6,-81.33924,6
179,Zika virus case reported in Rockland,42.13066,-70.91616,6
180,Zika investigators coming to Mankato,44.15906,-94.00915,6
181,Outbreak of Zika in Leesburg,28.81082,-81.87786,6
182,Stony Brook University experts discuss Zika virus,28.07389,-82.43902,6
183,Miami resident suggests Zika precautions,25.77427,-80.19366,6
184,More Zika patients reported in Lakeland,28.03947,-81.9498,6
185,Zika Outbreak in South Miami,25.77427,-80.19366,6
186,Zika arrives in Belmopan,17.25,-88.76667,6
187,Zika spreads to Plant City,28.01888,-82.11469,6
188,Zika Reported in North Miami Beach,25.93315,-80.16255,6
189,Zika Reported in Ilopango,13.70167,-89.10944,6
190,Zika Troubles come to Delray Beach,26.46146,-80.07282,6
191,Zika symptoms spotted in Boynton Beach,26.52535,-80.06643,6
